,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
175474,50243063,DE,IP-13-SJN-2017-0008,,DUPLICATE,NISSAN AUTOMOTIVE EUROPE SAS,,E9*2007/46*6537*07,ZE1,A,A,NISSAN,NISSAN LEAF 40 KWH,M1,M1,1,1580.0,1705.0,0.0,0.0,2700.0,1530.0,1545.0,ELECTRIC,E,,90.0,171.0,,,,,,P,2021,2021-09-02,,
175928,50243525,DE,,,AA-IVA,AA-IVA,,,G07,,,BMW,X7 XDRIVE40D,M1,M1,1,2585.0,,,,,,,DIESEL,M,2669.0,250.0,,,,,,,P,2021,2021-09-29,,
178291,50245888,DE,IP-J12A1DZP6DAW_00-JN1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN AUTOMOTIVE EUROPE,NISSAN AUTOMOTIVE EUROPE SAS,,E9*2018/858*11042*01,J12,A,A18,NISSAN,NISSAN QASHQAI,M1,M1,1,1450.0,1602.0,,145.0,2665.0,1580.0,1586.0,PETROL,H,1332.0,116.0,,,,,,,P,2021,2021-07-13,6.4,
180484,50248081,DE,,,AA-IVA,AA-IVA,,,G20,21FF,21FF,BMW,318I,M1,M1,1,1570.0,,,,,,,PETROL,H,1998.0,115.0,,,,,,,P,2021,2021-09-13,,
181039,50248636,DE,,,AA-IVA,AA-IVA,,,G60,21FL,,BMW,520D XDRIVE,M1,M1,1,1955.0,,,,,,,DIESEL,H,1998.0,145.0,,,,,,,P,2021,2021-07-13,,
181608,50249205,DE,IP-82A1MUDPF6A_000-VNV-0,RENAULT-NISSAN-MITSUBISHI,NISSAN AUTOMOTIVE EUROPE,NISSAN AUTOMOTIVE EUROPE SAS,,E2*98/14*0271*57,J4,JM9R,MU6UC4400A30,NISSAN,NISSAN NV300,M1,M1,1,2055.0,2279.0,,190.0,3098.0,1615.0,1628.0,DIESEL,M,1997.0,110.0,,E2 29,,0.8,,,P,2021,2021-07-13,7.2,
181625,50249222,DE,IP-82A1MUDPF6A_000-VNV-0,RENAULT-NISSAN-MITSUBISHI,NISSAN AUTOMOTIVE EUROPE,NISSAN AUTOMOTIVE EUROPE SAS,,E2*98/14*0271*58,J4,JM9R,MU6UC4400B30,NISSAN,NV300,M1,M1,1,2055.0,2282.0,,190.0,3098.0,1615.0,1628.0,DIESEL,M,1997.0,110.0,,,,,,,P,2021,2021-11-24,,
181627,50249224,DE,IP-82A1MUDPF6A_000-VNV-0,RENAULT-NISSAN-MITSUBISHI,NISSAN AUTOMOTIVE EUROPE,NISSAN AUTOMOTIVE EUROPE SAS,,E2*98/14*0271*60,J4,JM9R,MU6UC4400A30,NISSAN,PRIMASTAR,M1,M1,1,2055.0,2282.0,,190.0,3098.0,1615.0,1628.0,DIESEL,M,1997.0,110.0,,E2 29,,0.8,,,P,2021,2021-12-13,,
181877,50249474,DE,IP-K14A1RTP6DAF_00-JN1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN AUTOMOTIVE EUROPE,NISSAN AUTOMOTIVE EUROPE SAS,,E9*2007/46*6454*17,K14,D,D12,NISSAN,NISSAN MICRA,M1,M1,1,1135.0,1234.0,,124.0,2525.0,1510.0,1520.0,PETROL,M,999.0,68.0,,E2 29,,0.8,,,P,2021,2021-07-26,5.5,
182150,50249747,DE,,,AA-IVA,AA-IVA,,,G20,21FS,21FS,BMW,330E,M1,M1,1,1905.0,,,,,,,PETROL/ELECTRIC,P,1998.0,135.0,,,,,,,P,2021,2021-09-10,,
